section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416117080234,-2.256098,0.792683,1.95122,-0.104004,-1.003967,-0.061279,12.909694079987645,-3.737942216277588
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416122159234,-2.5,1.219512,1.097561,-0.095947,-1.006287,-0.059998,12.598424173650557,-3.5331155153048144
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416127238234,-2.621951,1.585366,0.182927,-0.098572,-0.992859,-0.058655,12.720530676297273,-3.2463779456155635
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416132317234,-2.804878,1.95122,-0.426829,-0.1026,-0.982483,-0.048218,12.874443555414217,-2.969617337184218
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416137396234,-3.109756,2.195122,-0.670732,-0.105713,-0.979797,-0.046814,13.15312636298168,-2.7473052929001938
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416142475234,-2.926829,2.195122,-0.731707,-0.10614,-0.973938,-0.04541,13.35987455559578,-2.48853153238872
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416147554234,-2.743902,2.134146,-0.487805,-0.10614,-0.978455,-0.041748,12.943134264081493,-2.3960507334143983
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416152633234,-2.5,2.012195,-0.243902,-0.108398,-0.978882,-0.03833,13.32120464987753,-2.2526184472171735
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416157712234,-2.134146,1.890244,0.365854,-0.113647,-0.96814,-0.036743,13.743555987676132,-2.174337839863597
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416162791234,-1.768293,1.646341,0.853659,-0.117126,-0.969666,-0.033875,13.96639533003517,-1.9124697567363
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416167870234,-1.463415,1.646341,1.585366,-0.12085,-0.972534,-0.040283,14.048808548757904,-2.2298326966042623
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416172949234,-1.036585,1.341463,2.682927,-0.121033,-0.971436,-0.042969,14.109707802447474,-2.5473960958763087
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416178028234,-0.792683,1.402439,3.780488,-0.120361,-0.977173,-0.043884,13.714862592450942,-2.6570493051540893
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416183107234,-0.670732,1.52439,4.817073,-0.121643,-0.985535,-0.047668,14.132506103379711,-2.802350740138536
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416188186234,-0.304878,1.585366,5.609756,-0.121338,-0.992249,-0.050598,13.84517623164092,-3.022163642954581
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416193265234,-0.304878,1.707317,6.036585,-0.119751,-0.991699,-0.054077,13.967916031293527,-3.331046762872603
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416198344234,-0.426829,1.768293,6.036585,-0.11554,-1.001404,-0.055908,13.600693011378837,-3.1986485961865867
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416203423234,-0.487805,1.890244,5.609756,-0.116516,-1.008667,-0.058228,13.563141658998177,-3.5113534989431514
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416208502234,-0.609756,2.012195,4.878049,-0.10968,-1.016296,-0.059753,13.192619234213112,-3.3761118541435167
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416213581234,-0.914634,2.073171,3.597561,-0.108215,-1.019897,-0.058533,12.87915481384968,-3.1743890718940975
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416218660234,-1.280488,2.195122,2.439024,-0.107361,-1.019104,-0.058411,13.173619666686164,-3.4221469869505086
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416223739234,-1.646341,2.256098,1.646341,-0.111633,-1.012268,-0.058044,13.394539487160444,-3.158009448372127
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416228818234,-1.707317,2.317073,0.914634,-0.110229,-1.006287,-0.054565,13.004126850912684,-3.0276949097239765
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416233897234,-1.707317,2.256098,0.060976,-0.115295,-0.991455,-0.051819,13.442051067039955,-3.012308408065479
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416238976234,-1.768293,2.195122,0.060976,-0.11853,-0.980164,-0.054077,13.841813724541453,-3.15409460415583
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416244055234,-1.707317,2.256098,0.853659,-0.118347,-0.977173,-0.052002,13.993599608825747,-2.8687564769870164
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416249134234,-1.707317,2.134146,1.280488,-0.119202,-0.974487,-0.050476,13.907682715670092,-3.1843778699815175
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416254213234,-1.341463,2.073171,1.890244,-0.127747,-0.974976,-0.05304,14.349085153892645,-3.136769321745703
8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,1649843416259292234,-0.853659,2.195122,2.621951,-0.129883,-0.973206,-0.054077,14.788474135693264,-3.2200026838148403
