,index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,timestamp [ns]_for_grouping,ref_center_x,ref_center_y,ref_coordinates,tag
167,1649,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8255.646,723.226,634.72,1.0,20.0,,1634117197106359265,773,683,"(773, 683)",noise
168,1656,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8291.595,729.357,644.549,1.0,20.0,,1634117197142308265,777,694,"(777, 694)",r base
169,1662,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8319.682,726.37,639.672,1.0,20.0,,1634117197170395265,775,689,"(775, 689)",r base
170,1670,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8359.644,721.303,653.685,1.0,,,1634117197210357265,771,703,"(771, 703)",r base
171,1675,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8383.649,625.671,681.69,1.0,,,1634117197234362265,676,728,"(676, 728)",r base
172,1682,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8419.644,583.035,744.473,1.0,21.0,,1634117197270357265,632,788,"(632, 788)",r base
173,1688,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8451.639,571.676,739.001,1.0,21.0,,1634117197302352265,619,783,"(619, 783)",r base
174,1696,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8491.645,571.159,738.104,1.0,21.0,,1634117197342358265,617,783,"(617, 783)",r base
175,1700,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8511.661,560.567,729.932,1.0,21.0,,1634117197362374265,609,776,"(609, 776)",r base
176,1710,ddbbacb4-5a38-4bfa-89a2-c30d47d82da8,90e19201-e849-43d8-abb3-0a8acfc9a832,8559.608,561.775,731.43,1.0,21.0,,1634117197410321265,610,778,"(610, 778)",r base
