section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll [deg],pitch [deg],yaw [deg],quaternion w,quaternion x,quaternion y,quaternion z
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138540230772,0.121951,-10.182927,-0.548781,-0.09906,-0.924255,-0.317444,12.844319292216085,-19.130286235866663,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138545282772,0.182927,-10.182927,-0.609756,-0.094299,-0.925476,-0.316895,12.53344355739759,-18.904991607103,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138550334772,0.121951,-10.243902,-0.365854,-0.096802,-0.922607,-0.318359,12.806280307648024,-19.16115266674538,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138555386772,-0.0,-10.304878,-0.487805,-0.098755,-0.924011,-0.320251,12.581620062880347,-18.883957620870717,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138560438772,-0.060976,-10.426829,-0.426829,-0.097046,-0.92511,-0.31897,12.770055842787713,-19.174728616389586,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138565490772,-0.060976,-10.182927,-0.426829,-0.096985,-0.927246,-0.320862,12.464435960278081,-18.94685844848874,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138570542772,-0.060976,-10.060976,-0.548781,-0.097168,-0.925171,-0.321472,12.728243525376541,-19.208222634515607,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138575594772,-0.182927,-9.939025,-0.609756,-0.097961,-0.92511,-0.320923,12.678388271224293,-18.886261956366752,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138580646772,-0.304878,-10.0,-0.426829,-0.095825,-0.926697,-0.324341,12.612306478028358,-19.195556658909794,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138585698772,-0.548781,-9.756098,-0.365854,-0.100708,-0.925354,-0.322632,13.061185728557177,-19.237712294851036,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138590750772,-0.548781,-9.512196,-0.487805,-0.100403,-0.925781,-0.321655,12.680436624861784,-19.090068975510064,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138595802772,-0.548781,-9.45122,-0.487805,-0.097534,-0.928406,-0.321655,12.519919810775946,-19.377882291956325,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138600854772,-0.609756,-9.45122,-0.792683,-0.099854,-0.929016,-0.326477,12.967268609764233,-19.351705196179523,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138605906772,-0.670732,-9.329268,-0.914634,-0.102112,-0.924744,-0.320007,12.966260934453828,-19.02987925323316,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138610958772,-0.670732,-9.146341,-1.036585,-0.102356,-0.927124,-0.325623,12.957133196132474,-19.347312220783834,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138616010772,-0.853659,-9.085366,-1.036585,-0.098694,-0.922058,-0.324829,12.568122231005304,-19.470310536723105,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138621062772,-0.853659,-9.085366,-0.792683,-0.099731,-0.922058,-0.324768,12.988767435485869,-19.363416400387166,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138626114772,-0.97561,-9.02439,-0.487805,-0.098633,-0.925293,-0.324402,12.574061309419733,-19.288630913340455,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138631166772,-1.341463,-8.719512,-0.304878,-0.100037,-0.926208,-0.32251,12.975919819907745,-19.150668950731188,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138636218772,-1.402439,-8.414635,-0.060976,-0.100403,-0.928589,-0.319702,12.744780795114735,-18.884075046628453,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138641270772,-1.219512,-8.292683,-0.243902,-0.103577,-0.930542,-0.321228,13.09538078007327,-19.094140518877794,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138646322772,-1.219512,-8.353659,-0.487805,-0.102661,-0.929443,-0.32019,12.773495042925646,-18.88281616918937,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138651374772,-1.097561,-8.414635,-0.914634,-0.105042,-0.928223,-0.319763,13.175310685680984,-19.031639725378596,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138656426772,-0.97561,-8.414635,-1.158537,-0.103516,-0.931763,-0.320801,12.757371870931252,-18.95267892605915,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138661478772,-0.914634,-8.231708,-1.280488,-0.102905,-0.925354,-0.318237,13.19894334809419,-18.998645967103414,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138666530772,-1.097561,-8.170732,-1.402439,-0.106567,-0.9245,-0.317993,13.499047307572084,-18.76674561464,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138671582772,-0.97561,-8.109756,-1.402439,-0.102478,-0.924438,-0.322266,13.22627862859207,-19.008591525782606,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138676634772,-1.097561,-8.109756,-1.280488,-0.09845,-0.923523,-0.324951,12.937362615127114,-19.240236116302384,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138681686772,-1.402439,-7.804878,-1.219512,-0.101196,-0.923706,-0.326416,12.887822747962588,-19.558970608257766,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138686738772,-1.52439,-7.256098,-1.158537,-0.101257,-0.921753,-0.326233,13.004653461361357,-19.254232772166887,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138691790772,-1.585366,-7.073171,-0.97561,-0.102173,-0.923096,-0.328491,12.963134354414336,-19.5753566238904,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138696842772,-1.646341,-6.768293,-0.731707,-0.101746,-0.923767,-0.327393,12.793588803280102,-19.28388392023612,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138701894772,-1.646341,-6.463415,-0.731707,-0.099976,-0.925537,-0.326355,12.85368807339745,-19.606725628628993,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138706946772,-1.768293,-6.158537,-0.670732,-0.102051,-0.929016,-0.323364,12.913721801216383,-19.29557133067138,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138711998772,-1.768293,-5.792683,-0.548781,-0.101624,-0.926819,-0.324463,12.503959160664806,-19.19685292720851,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138717050772,-1.646341,-5.487805,-0.487805,-0.103577,-0.930054,-0.326782,12.91306250764461,-19.33476329728535,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138722102772,-1.585366,-5.182927,-0.609756,-0.103882,-0.929871,-0.32666,13.342100592503414,-19.42743060064052,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138727154772,-1.52439,-5.0,-0.731707,-0.102844,-0.928467,-0.32428,12.974878517992067,-19.257501772166336,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138732206772,-1.280488,-4.878049,-0.853659,-0.104309,-0.928528,-0.32074,13.108938804178734,-18.957715290317708,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138737258772,-0.97561,-4.756098,-1.036585,-0.104614,-0.926025,-0.321228,13.081177017535992,-19.277867976946908,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138742310772,-1.036585,-4.45122,-0.914634,-0.103149,-0.924744,-0.323853,12.687206369729324,-19.407205788530092,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138747362772,-0.853659,-4.207317,-0.670732,-0.107605,-0.921875,-0.32312,13.11697494976886,-19.34428424125457,,,,,
6498842a-e724-4a14-b9ed-ffb66d4abeac,37eb8b4c-3c30-445c-b4db-773cc7ac99eb,1688463138752414772,-0.853659,-4.02439,-0.670732,-0.103577,-0.92157,-0.324097,12.760531152802173,-19.52106665220424,,,,,
