index,section id,recording id,timestamp [ns],gaze x [px],gaze y [px],worn,fixation id,blink id,ref_x_pixel,ref_y_pixel
10087,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50861.393,573.383,394.704,1.0,167.0,,586,536
10092,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50885.398,591.542,416.641,1.0,,,606,555
10099,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50921.383,587.456,414.358,1.0,,,601,550
10103,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50941.419,601.608,407.249,1.0,,,616,566
10114,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,50997.416,548.45,412.793,1.0,,,562,511
10120,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51029.388,583.146,435.498,1.0,,,597,547
10125,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51053.395,599.306,445.085,1.0,,,613,563
10134,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51097.352,531.044,423.135,1.0,,,545,494
10139,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51121.378,529.144,393.953,1.0,,,543,492
10147,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51161.427,637.283,389.396,1.0,,,714,257
10153,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51193.397,656.482,389.778,1.0,,,670,621
10159,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51221.399,629.343,397.311,1.0,168.0,,644,593
10167,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51261.374,632.787,398.198,1.0,168.0,,701,103
10173,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51293.466,607.942,395.271,1.0,,,622,572
10179,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51329.503,581.839,397.26,1.0,169.0,,596,545
10184,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51353.406,595.893,400.131,1.0,169.0,,610,559
10190,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51381.365,582.524,392.936,1.0,169.0,,597,545
10196,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51413.365,590.676,400.149,1.0,169.0,,605,553
10205,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51457.378,561.768,402.88,1.0,169.0,,576,524
10213,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51497.459,560.72,395.933,1.0,169.0,,575,523
10216,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51513.4,559.676,390.449,1.0,169.0,,574,522
10222,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51541.384,583.007,391.829,1.0,169.0,,597,546
10232,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51593.408,559.454,388.921,1.0,169.0,,573,521
10239,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51629.398,579.582,388.579,1.0,169.0,,594,543
10243,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51649.38,577.435,389.699,1.0,169.0,,591,539
10250,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51685.499,558.016,379.891,1.0,169.0,,572,520
10258,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51725.417,560.268,392.065,1.0,169.0,,573,522
10264,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51753.496,571.506,387.014,1.0,169.0,,585,533
10272,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51793.415,554.334,380.994,1.0,169.0,,567,514
10278,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51822.268,559.805,368.752,1.0,169.0,,574,518
10285,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51858.277,569.856,387.254,1.0,169.0,,584,528
10291,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51890.231,553.69,383.773,1.0,169.0,,567,511
10299,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51930.494,567.013,392.588,1.0,169.0,,580,524
10305,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51958.257,587.625,392.457,1.0,169.0,,601,546
10311,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,51990.226,557.754,406.705,1.0,,,572,515
10318,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52022.243,544.62,408.053,1.0,170.0,,558,503
10323,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52050.281,538.29,397.992,1.0,170.0,,551,496
10331,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52090.219,574.266,404.399,1.0,,,587,533
10336,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52114.246,549.817,400.61,1.0,,,563,510
10343,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52150.275,529.401,393.949,1.0,171.0,,543,488
10352,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52194.271,529.859,387.428,1.0,171.0,,542,490
10359,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52230.295,529.173,384.344,1.0,171.0,,542,488
10364,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52254.274,530.677,395.802,1.0,171.0,,543,490
10372,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52294.353,541.857,399.635,1.0,171.0,,554,501
10378,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52322.988,541.39,379.554,1.0,171.0,,554,499
10385,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52359.008,551.806,378.958,1.0,171.0,,564,510
10392,8bef8eba-8d93-43bb-bd60-4213cc733501,5146df65-fb40-4696-82e6-199926c4a93d,52395.027,545.396,379.529,1.0,171.0,,557,503
